region;state;theme;ODS;confidence
NORDESTE;ALAGOAS;"Recursos naturais do estado de Alagoas;";igualdade de gênero;17
NORDESTE;ALAGOAS;"Desenvolvimento sustentável;";vida terrestre;12
NORDESTE;ALAGOAS;"Desastres, impactos ambientais e mudanças climáticas;";paz, justiça e instituições eficazes;14
NORDESTE;ALAGOAS;"Bioeconomia, bioinsumos, biotecnologia: foco em alimentos, segurança alimentar, própolis, cannabis, energias renováveis, agroinsumos, como fator de diferenciação e utilização do conhecimento instalado;";paz, justiça e instituições eficazes;13
NORDESTE;ALAGOAS;"Estratégias para parcerias público-privadas focadas na inovação e no desenvolvimento sustentável;";igualdade de gênero;14
NORDESTE;ALAGOAS;"Cadeia e indústria da saúde, contemplando: desenvolvimento de pesquisa básica, clínica e aplicada em saúde; saúde populacional e aumento da expectativa de vida; inovação médica, tecnológica e tele saúde; epidemiologia e estatística; desenvolvimento de processo, gestão e economia da saúde;";vida na água;13
NORDESTE;ALAGOAS;"Primeira infância e saúde mental;";paz, justiça e instituições eficazes;26
NORDESTE;ALAGOAS;"Saúde coletiva;";fome zero e agricultura sustentável;17
NORDESTE;ALAGOAS;"Inteligência artificial como fator de “eficientização” de demandas dos setores público e privado, atuando de forma transversal e importante para mobilidade acadêmica;";paz, justiça e instituições eficazes;11
NORDESTE;ALAGOAS;"Tecnologias da informação e da comunicação, com ênfase em inteligência artificial e ciência de dados;";ação contra a mudança global do clima;12
NORDESTE;ALAGOAS;"Inteligência Artificial e Humanidade Digital;";ação contra a mudança global do clima;11
NORDESTE;ALAGOAS;"Cidades Inteligentes;";ação contra a mudança global do clima;13
NORDESTE;ALAGOAS;"Transformação digital;";ação contra a mudança global do clima;12
NORDESTE;ALAGOAS;"Economia de serviços (turismo, economia criativa e bem-estar) como forma de agregação de valor às vocações naturais do estado (Ex.: Penedo – Cidade Criativa – Unesco);";paz, justiça e instituições eficazes;13
NORDESTE;ALAGOAS;"Cadeias produtivas e economia criativa;";paz, justiça e instituições eficazes;11
